tgid 797  "bluetooth@1.0-s"  7fbd480000 0
tgid 2041  "RenderThread"  7ec77a9000 0
tgid 2041  "RenderThread"  7ec5ee7000 0
tgid 2041  "RenderThread"  7f298d9000 0
tgid 2041  "RenderThread"  7ec5eed000 0
tgid 2041  "RenderThread"  7ec7608000 0
tgid 2041  "RenderThread"  7fbf5e4000 0
tgid 602  "Binder:602_5"  7fb75fb000 0
tgid 602  "Binder:602_5"  7fb75bf000 0
tgid 602  "Binder:602_5"  7fb67c9000 0
tgid 602  "Binder:602_5"  7fb75c0000 0
tgid 2041  "RenderThread"  7fbdc51000 0
tgid 2041  "RenderThread"  7fba535000 0
tgid 2041  "RenderThread"  7ec5f12000 0
tgid 2041  "hwuiTask1"  7f29ebf000 0
tgid 2041  "droid.launcher3"  13033000 0
tgid 2041  "hwuiTask1"  7f29ebe000 0
tgid 2041  "hwuiTask1"  7f28aee000 0
tgid 2041  "hwuiTask1"  7fbe25b000 0
tgid 2041  "hwuiTask1"  7f28aef000 0
tgid 2041  "hwuiTask1"  7f29ebc000 0
tgid 2041  "hwuiTask1"  7f29ebd000 0
tgid 2041  "hwuiTask1"  7ec5f2c000 0
tgid 2041  "hwuiTask1"  7ec5f2d000 0
tgid 2041  "droid.launcher3"  72844000 0
tgid 602  "Binder:602_5"  7fb677d000 0
tgid 2041  "droid.launcher3"  7fbe342000 0
tgid 2041  "RenderThread"  7ec77a3000 0
tgid 2041  "RenderThread"  7f28bc2000 0
tgid 2041  "RenderThread"  7f28bc5000 0
tgid 2041  "RenderThread"  7ecc84a000 0
tgid 2041  "RenderThread"  7f28bc3000 0
tgid 2041  "RenderThread"  7f28ba5000 0
tgid 2041  "RenderThread"  7eccaf0000 0
tgid 2041  "RenderThread"  7f299a5000 0
tgid 2041  "RenderThread"  7f29986000 0
tgid 2041  "RenderThread"  7ecca0a000 0
tgid 2041  "RenderThread"  7ec5d6e000 0
tgid 2041  "RenderThread"  7ec5d6f000 0
tgid 2041  "RenderThread"  7ec5d70000 0
tgid 2041  "RenderThread"  7ec74b0000 0
tgid 2041  "RenderThread"  7f2995b000 0
tgid 602  "Binder:602_5"  7fba668000 0
tgid 2041  "RenderThread"  7ec7518000 0
tgid 2041  "hwuiTask0"  7f39808000 0
tgid 2041  "hwuiTask0"  7f2d804000 0
tgid 602  "surfaceflinger"  7fb6700000 0
tgid 602  "surfaceflinger"  7fba691000 0
tgid 2041  "RenderThread"  7f29955000 0
tgid 2041  "RenderThread"  7f29971000 0
tgid 2041  "hwuiTask0"  7f2d808000 0
tgid 2041  "hwuiTask0"  7f2d806000 0
tgid 2041  "hwuiTask0"  7f2d800000 0
tgid 2041  "RenderThread"  7f3983f000 0
tgid 602  "Binder:602_3"  7fb6589000 0
tgid 2041  "RenderThread"  7ec5d05000 0
tgid 2041  "RenderThread"  7f29933000 0
tgid 2041  "RenderThread"  7f29972000 0
tgid 2041  "RenderThread"  7f29983000 0
tgid 2041  "RenderThread"  7ec5f28000 0
tgid 2041  "RenderThread"  7fbe250000 0
tgid 2041  "RenderThread"  7ec77a2000 0
tgid 2041  "RenderThread"  7ec5e6b000 0
tgid 2041  "RenderThread"  7fbe189000 0
tgid 2041  "RenderThread"  7f2997a000 0
tgid 2041  "droid.launcher3"  7ec5d8f000 0
tgid 2041  "droid.launcher3"  9e747000 0
tgid 2041  "droid.launcher3"  9e751000 0
tgid 815  "NodeLooperThrea"  7fbdd8b000 0
tgid 815  "NodeLooperThrea"  7fbba04000 0
tgid 2041  "RenderThread"  7f29984000 0
tgid 2041  "RenderThread"  7f39835000 0
tgid 2041  "RenderThread"  7ec76c6000 0
tgid 2041  "RenderThread"  7ec76c7000 0
tgid 2041  "RenderThread"  7f28abf000 0
tgid 2041  "RenderThread"  7ec76c9000 0
tgid 2041  "RenderThread"  7fbe18e000 0
tgid 2041  "RenderThread"  7fbc262000 0
tgid 2041  "RenderThread"  7f29976000 0
tgid 2041  "RenderThread"  7ec5e4c000 0
tgid 2041  "RenderThread"  7ec5d06000 0
tgid 2041  "RenderThread"  7ec5e1c000 0
tgid 2041  "RenderThread"  7f29985000 0
tgid 2041  "RenderThread"  7f2998e000 0
tgid 2041  "RenderThread"  7f3980d000 0
tgid 2041  "RenderThread"  7f28a1a000 0
tgid 2041  "RenderThread"  7f28a1b000 0
tgid 2041  "RenderThread"  7f29a11000 0
tgid 2041  "RenderThread"  7f2997b000 0
tgid 2041  "droid.launcher3"  72846000 0
tgid 2041  "droid.launcher3"  72847000 0
tgid 2041  "RenderThread"  7f29977000 0
tgid 2041  "RenderThread"  7f299ab000 0
tgid 2041  "droid.launcher3"  7f318ff000 0
tgid 2041  "droid.launcher3"  7ec750c000 0
tgid 2041  "RenderThread"  7ec7499000 0
tgid 2041  "RenderThread"  7f29a12000 0
tgid 2041  "RenderThread"  7f2994d000 0
tgid 2041  "RenderThread"  7fbe18f000 0
tgid 2041  "droid.launcher3"  13d69000 0
tgid 2041  "droid.launcher3"  132c5000 0
tgid 2041  "droid.launcher3"  132c6000 0
tgid 2041  "droid.launcher3"  132c7000 0
tgid 2041  "droid.launcher3"  9e71d000 0
tgid 2041  "droid.launcher3"  13d40000 0
tgid 2041  "droid.launcher3"  9e6e9000 0
tgid 2041  "droid.launcher3"  9e6ea000 0
tgid 2041  "droid.launcher3"  9e6fe000 0
tgid 2041  "droid.launcher3"  7fbe28e000 0
tgid 2041  "droid.launcher3"  13c94000 0
tgid 2041  "droid.launcher3"  7fbe253000 0
tgid 2041  "droid.launcher3"  13cb3000 0
tgid 2041  "droid.launcher3"  726e2000 0
tgid 2041  "droid.launcher3"  727d8000 0
tgid 2041  "droid.launcher3"  13d63000 0
tgid 2041  "droid.launcher3"  13d62000 0
tgid 2041  "droid.launcher3"  9e704000 0
tgid 2041  "RenderThread"  7ec5ee5000 0
tgid 2041  "RenderThread"  7ecca09000 0
tgid 602  "Binder:602_3"  7fba738000 0
tgid 602  "Binder:602_3"  7fba739000 0
tgid 602  "Binder:602_4"  7fb67cf000 0
tgid 602  "Binder:602_4"  7fba697000 0
tgid 602  "Binder:602_4"  7fb77a9000 0
tgid 602  "Binder:602_4"  7fb6867000 0
tgid 602  "Binder:602_4"  7fb77ab000 0
tgid 602  "Binder:602_4"  7fba6c8000 0
tgid 602  "surfaceflinger"  7fb67ac000 0
tgid 602  "surfaceflinger"  7fba63f000 0
tgid 602  "surfaceflinger"  7fbe2b0000 0
tgid 602  "surfaceflinger"  7fb7783000 0
tgid 602  "surfaceflinger"  7fba6c9000 0
tgid 602  "surfaceflinger"  7fba771000 0
tgid 602  "surfaceflinger"  7fb6928000 0
tgid 2041  "RenderThread"  7ec5e4d000 0
tgid 2041  "RenderThread"  7fbd58e000 1
tgid 2041  "RenderThread"  7f299ac000 1
tgid 2041  "RenderThread"  7f299ae000 1
tgid 2041  "RenderThread"  7f299ad000 1
tgid 602  "Binder:602_2"  7fb75b6000 1
tgid 602  "surfaceflinger"  7fba80a000 1
tgid 2041  "RenderThread"  7ec7519000 1
tgid 602  "surfaceflinger"  7fb7a40000 1
tgid 2041  "droid.launcher3"  9e80c000 1
tgid 2041  "droid.launcher3"  7fbc3a4000 1
tgid 2041  "droid.launcher3"  9e883000 1
tgid 2041  "droid.launcher3"  9e81e000 1
tgid 2041  "droid.launcher3"  9e822000 1
tgid 2041  "droid.launcher3"  9e7dc000 1
tgid 2041  "droid.launcher3"  9e761000 1
tgid 2041  "droid.launcher3"  9e7e1000 1
tgid 2041  "droid.launcher3"  726e0000 1
tgid 2041  "droid.launcher3"  727ac000 1
tgid 2041  "droid.launcher3"  7ecc8c3000 1
tgid 2041  "droid.launcher3"  7ecc8c4000 1
tgid 2041  "droid.launcher3"  7fbd85b000 1
tgid 2041  "droid.launcher3"  7ecc9be000 1
tgid 2041  "droid.launcher3"  7ec74a7000 1
tgid 2041  "droid.launcher3"  7fbe229000 1
tgid 2041  "droid.launcher3"  7fba5b7000 1
tgid 2041  "droid.launcher3"  7fbb0f5000 1
tgid 2041  "droid.launcher3"  9e6f1000 1
tgid 2041  "droid.launcher3"  9e7b6000 1
tgid 2041  "droid.launcher3"  9e7b1000 1
tgid 2041  "droid.launcher3"  72849000 1
tgid 2041  "RenderThread"  7ec75a7000 1
tgid 857  "logcatd"  7fbd8c5000 1
tgid 815  "power@1.3-servi"  7fbd26b000 1
tgid 857  "logcatd"  7fbda07000 1
tgid 857  "logcatd"  7fbe28f000 1
tgid 857  "logcatd"  7fbda06000 1
tgid 857  "logcatd"  7fbd805000 1
tgid 2041  "droid.launcher3"  7ec5d90000 1
tgid 2041  "droid.launcher3"  9e7e2000 1
tgid 2041  "droid.launcher3"  13d74000 1
tgid 2041  "droid.launcher3"  9e772000 1
tgid 2041  "droid.launcher3"  9e6cd000 1
tgid 2041  "droid.launcher3"  9e75a000 1
tgid 2041  "droid.launcher3"  9e7b5000 1
tgid 2041  "droid.launcher3"  13d7a000 1
tgid 2041  "droid.launcher3"  9e721000 1
tgid 2041  "droid.launcher3"  9e722000 1
tgid 2041  "droid.launcher3"  9e7d4000 1
tgid 2041  "droid.launcher3"  9e7c8000 1
tgid 2041  "droid.launcher3"  7f28a72000 1
tgid 2041  "droid.launcher3"  9e867000 1
tgid 2041  "droid.launcher3"  9e866000 1
tgid 2041  "droid.launcher3"  9e75b000 1
tgid 2041  "droid.launcher3"  1329c000 1
tgid 2041  "droid.launcher3"  9e877000 1
tgid 2041  "droid.launcher3"  9e6d1000 1
tgid 2041  "RenderThread"  7ec5f1d000 1
tgid 2041  "droid.launcher3"  7ec74ea000 1
tgid 2041  "RenderThread"  7eccad5000 1
tgid 2041  "RenderThread"  7ecc8ab000 1
tgid 2041  "RenderThread"  7f298a8000 1
tgid 2041  "RenderThread"  7f298a9000 1
tgid 2041  "droid.launcher3"  9e7db000 1
tgid 602  "surfaceflinger"  7fb699a000 1
tgid 2041  "droid.launcher3"  9e741000 1
tgid 2041  "droid.launcher3"  9e80f000 1
tgid 602  "Binder:602_4"  7fba622000 1
tgid 797  "bluetooth@1.0-s"  7fbd481000 1
tgid 857  "logcatd"  7fbd885000 1
tgid 815  "power@1.3-servi"  7fbf6ff000 1
tgid 815  "power@1.3-servi"  7fbb825000 1
tgid 2041  "Binder:2041_5"  7eca294000 1
tgid 2041  "Binder:2041_5"  7f296e7000 1
tgid 2041  "Binder:2041_5"  7f296e8000 1
tgid 2041  "Binder:2041_5"  7eca179000 1
tgid 2041  "Binder:2041_5"  7eca189000 1
tgid 2041  "Binder:2041_5"  7eca225000 1
tgid 2041  "Binder:2041_5"  7eca226000 1
tgid 2041  "Binder:2041_5"  7f296e5000 1
tgid 2041  "Binder:2041_5"  7fbe07d000 1
tgid 2041  "Binder:2041_5"  7f296e6000 1
tgid 2041  "Binder:2041_5"  12c80000 1
tgid 2041  "Binder:2041_5"  7fbe289000 1
tgid 2041  "Binder:2041_5"  7f296e4000 1
tgid 2041  "droid.launcher3"  13c82000 1
tgid 2041  "droid.launcher3"  7fbe23f000 1
tgid 2041  "droid.launcher3"  7fbe240000 1
tgid 893  "Binder:893_2"  7fbd0e2000 1
tgid 2041  "droid.launcher3"  9e884000 1
tgid 2041  "droid.launcher3"  9e882000 1
tgid 2041  "droid.launcher3"  9e738000 1
tgid 2041  "Binder:2041_5"  7f2d695000 1
tgid 2041  "droid.launcher3"  9e889000 1
tgid 2041  "droid.launcher3"  9e793000 1
tgid 2041  "droid.launcher3"  9e881000 1
tgid 2041  "droid.launcher3"  9e891000 1
tgid 2041  "droid.launcher3"  7f35142000 1
tgid 2041  "droid.launcher3"  7fbe23d000 1
tgid 6425  "Binder:6425_4"  7f28b2a000 1
tgid 6425  "Binder:6425_4"  7e94fc8000 1
tgid 6425  "Binder:6425_4"  1334f000 1
tgid 6425  "Binder:6425_3"  7f28abc000 1
tgid 6425  "Binder:6425_3"  7f2df6f000 1
tgid 6425  "Binder:6425_3"  7f2df70000 1
tgid 6425  "ell.clashroyale"  1340e000 1
tgid 6425  "ell.clashroyale"  7f28afc000 1
tgid 6425  "ell.clashroyale"  7f28e4f000 1
tgid 6425  "ell.clashroyale"  7fbe166000 1
tgid 6425  "ell.clashroyale"  7f28e38000 1
tgid 6425  "ell.clashroyale"  7f28a82000 1
tgid 6425  "Binder:6425_3"  7f28b5d000 1
tgid 6425  "Binder:6425_3"  7f28d20000 1
tgid 6425  "Binder:6425_3"  7fbe22b000 1
tgid 6425  "Binder:6425_3"  7f28e34000 1
tgid 6425  "Binder:6425_3"  7fbe177000 1
tgid 6425  "Binder:6425_3"  7f28b6b000 1
tgid 6425  "Binder:6425_3"  7f28b18000 1
tgid 6425  "Binder:6425_3"  7f2df6d000 1
tgid 6425  "Binder:6425_3"  136b6000 1
tgid 6425  "Binder:6425_3"  7f2df6e000 1
tgid 6425  "Binder:6425_3"  7fbe29c000 1
tgid 6425  "Binder:6425_3"  7f28b1c000 1
tgid 6425  "Binder:6425_3"  7fbe1d4000 1
tgid 6425  "Binder:6425_3"  7f34f14000 1
tgid 6425  "Binder:6425_3"  7fbe1ca000 1
tgid 6425  "Binder:6425_3"  7f28960000 1
tgid 6425  "Binder:6425_3"  7f3982b000 1
tgid 6425  "Binder:6425_3"  7eb92fa000 1
tgid 6425  "Binder:6425_3"  7eb9403000 1
tgid 6425  "Binder:6425_3"  1324d000 1
tgid 6425  "Binder:6425_3"  13402000 1
tgid 6425  "Binder:6425_3"  13345000 1
tgid 6425  "Binder:6425_3"  7f2d3ca000 1
tgid 857  "logcatd"  7fbd883000 1
tgid 6425  "ell.clashroyale"  1334a000 1
tgid 6425  "ell.clashroyale"  7f28b23000 1
tgid 6425  "RenderThread"  7f28ea4000 1
tgid 6425  "ell.clashroyale"  7f28e07000 1
tgid 6425  "ell.clashroyale"  7fbd89e000 1
tgid 857  "logcatd"  7fbd875000 1
tgid 6425  "ell.clashroyale"  136b4000 1
tgid 6425  "ell.clashroyale"  133ed000 1
tgid 6425  "ell.clashroyale"  7f28bb2000 1
tgid 6425  "ell.clashroyale"  132be000 1
tgid 6425  "ell.clashroyale"  13347000 1
tgid 6425  "ell.clashroyale"  72840000 1
tgid 6425  "ell.clashroyale"  72839000 1
tgid 6425  "ell.clashroyale"  7283a000 1
tgid 6425  "ell.clashroyale"  726e1000 1
tgid 6425  "ell.clashroyale"  9e6cf000 1
tgid 6425  "ell.clashroyale"  9e6d0000 1
tgid 602  "Binder:602_1"  7fba70c000 1
tgid 2041  "droid.launcher3"  726f9000 1
tgid 2041  "droid.launcher3"  13d6b000 1
tgid 2041  "droid.launcher3"  7fbc3a5000 1
tgid 2041  "droid.launcher3"  13cb7000 1
tgid 2041  "droid.launcher3"  13cbb000 1
tgid 2041  "droid.launcher3"  7270b000 1
tgid 2041  "droid.launcher3"  7270c000 1
tgid 2041  "droid.launcher3"  7ecc84d000 1
tgid 2041  "droid.launcher3"  13cba000 1
tgid 2041  "droid.launcher3"  72700000 1
tgid 2041  "droid.launcher3"  7ecc84e000 1
tgid 2041  "droid.launcher3"  13cb9000 1
tgid 2041  "droid.launcher3"  9e71e000 1
tgid 2041  "droid.launcher3"  9e6eb000 1
tgid 2041  "droid.launcher3"  132b0000 1
tgid 2041  "droid.launcher3"  132a2000 1
tgid 6425  "ell.clashroyale"  9e6d1000 1
tgid 6425  "ell.clashroyale"  1334b000 1
tgid 2041  "droid.launcher3"  132e1000 1
tgid 2041  "droid.launcher3"  132e0000 1
tgid 2041  "droid.launcher3"  132df000 1
tgid 2041  "droid.launcher3"  132de000 1
tgid 2041  "droid.launcher3"  13d7f000 1
tgid 2041  "droid.launcher3"  13d7e000 1
tgid 2041  "droid.launcher3"  9e800000 1
tgid 6425  "ell.clashroyale"  13294000 1
tgid 6425  "ell.clashroyale"  7f28be3000 1
tgid 6425  "ell.clashroyale"  132ad000 1
tgid 6425  "ell.clashroyale"  7f28be2000 1
tgid 6425  "ell.clashroyale"  7ebba00000 1
tgid 6425  "ell.clashroyale"  132ae000 1
tgid 6425  "ell.clashroyale"  132a7000 1
tgid 6425  "ell.clashroyale"  7f28be5000 1
tgid 6425  "ell.clashroyale"  7fbc3b3000 1
tgid 6425  "ell.clashroyale"  1324e000 1
tgid 6425  "ell.clashroyale"  7ea6f30000 1
tgid 2041  "UiThreadHelper"  7f2d6d0000 1
tgid 2041  "UiThreadHelper"  7eca27c000 1
tgid 6425  "ell.clashroyale"  7fbc3bc000 1
tgid 6425  "ell.clashroyale"  7f28bfa000 1
tgid 6425  "ell.clashroyale"  13348000 1
tgid 6425  "ell.clashroyale"  7fbe1fb000 1
tgid 6425  "RenderThread"  7fbe1d5000 1
tgid 6425  "RenderThread"  7f28d4f000 1
tgid 6425  "RenderThread"  7f28ea8000 1
tgid 6425  "RenderThread"  7f28a7e000 1
tgid 6425  "RenderThread"  7ebba32000 1
tgid 6425  "RenderThread"  7ebb9f0000 1
tgid 6425  "RenderThread"  7f28fee000 1
tgid 6425  "RenderThread"  7ebb9ca000 1
tgid 6425  "RenderThread"  7f28bb0000 1
tgid 6425  "RenderThread"  7f28f5d000 1
tgid 6425  "RenderThread"  7f28fe9000 1
tgid 6425  "RenderThread"  7f39830000 1
tgid 6425  "RenderThread"  7fbe1c7000 1
tgid 6425  "ell.clashroyale"  133ee000 1
tgid 2041  "UiThreadHelper"  7f2d251000 1
tgid 6425  "ell.clashroyale"  7f318ff000 1
tgid 6425  "ell.clashroyale"  7ebba37000 1
tgid 6425  "ell.clashroyale"  7f28a81000 1
tgid 857  "logcatd"  7fbd862000 1
tgid 6425  "ell.clashroyale"  726e2000 1
tgid 6425  "ell.clashroyale"  727d8000 1
tgid 842  "lmkd"  7ffffff000 1
tgid 842  "lmkd"  555555f000 1
tgid 6526  "Binder:6526_3"  f7a1a000 1
tgid 2951  "Binder:2951_8"  7fbe1d0000 1
tgid 842  "lmkd"  7fbe491000 1
tgid 893  "statsd.writer"  7fbb229000 1
tgid 842  "lmkd"  7fffffd000 1
tgid 842  "lmkd"  7fbf700000 1
tgid 6526  "Binder:6526_3"  e20f1000 1
tgid 6526  "Binder:6526_3"  e205b000 1
tgid 6526  "Binder:6526_3"  f7b15000 1
tgid 2041  "droid.launcher3"  7ecc9ca000 1
tgid 2041  "droid.launcher3"  7ecc902000 1
tgid 2041  "droid.launcher3"  7ecc903000 1
tgid 2041  "droid.launcher3"  7ecc9dc000 1
tgid 2041  "RenderThread"  7f28ac3000 1
tgid 2041  "RenderThread"  7fbe1b2000 1
tgid 842  "lmkd"  7fffffc000 1
tgid 842  "lmkd"  7fffffe000 1
tgid 842  "lmkd"  7fbddc7000 1
tgid 2041  "droid.launcher3"  7f3508a000 1
tgid 2041  "droid.launcher3"  9e7cf000 1
tgid 6425  "ell.clashroyale"  7283c000 1
tgid 6425  "ell.clashroyale"  7fbe167000 1
tgid 6425  "ell.clashroyale"  7f35093000 1
tgid 6425  "ell.clashroyale"  7fbe17a000 1
tgid 6425  "ell.clashroyale"  7f346c8000 1
tgid 6425  "ell.clashroyale"  12d81000 1
tgid 6425  "ell.clashroyale"  7f2d3dd000 1
tgid 6425  "ell.clashroyale"  13346000 1
tgid 6425  "ell.clashroyale"  7283e000 1
tgid 6425  "ell.clashroyale"  1340a000 1
tgid 6425  "ell.clashroyale"  7fbc5f7000 1
tgid 6425  "ell.clashroyale"  136bb000 1
tgid 6425  "ell.clashroyale"  136b2000 1
tgid 6425  "ell.clashroyale"  9e6d8000 1
tgid 6425  "ell.clashroyale"  9e6d9000 1
tgid 6425  "ell.clashroyale"  136b3000 1
tgid 6425  "ell.clashroyale"  9e6d6000 1
tgid 6425  "ell.clashroyale"  9e6f0000 1
tgid 6425  "ell.clashroyale"  9e770000 1
tgid 6425  "ell.clashroyale"  9e78d000 1
tgid 6425  "ell.clashroyale"  9e789000 1
tgid 893  "Binder:893_2"  7fbd0e4000 1
tgid 893  "Binder:893_2"  7fbd087000 1
tgid 893  "Binder:893_2"  7fbd0e3000 1
tgid 893  "Binder:893_2"  7fbd0e1000 1
tgid 6425  "ell.clashroyale"  132b5000 1
tgid 6425  "ell.clashroyale"  9e763000 1
tgid 6425  "ell.clashroyale"  7fbe231000 1
tgid 6425  "ell.clashroyale"  9e7c5000 1
tgid 6425  "ell.clashroyale"  9e7c1000 1
tgid 6425  "ell.clashroyale"  9e7c4000 1
tgid 893  "Binder:893_2"  7fbd0bc000 1
tgid 893  "Binder:893_2"  7fbd0bb000 1
tgid 6425  "ell.clashroyale"  7fbe226000 1
tgid 6425  "ell.clashroyale"  7fbe227000 1
tgid 6425  "ell.clashroyale"  7fbf5e3000 1
tgid 6425  "ell.clashroyale"  7fbd85b000 1
tgid 6425  "ell.clashroyale"  7fbe193000 1
tgid 6425  "ell.clashroyale"  7fbe239000 1
tgid 893  "Binder:893_2"  7fbd0b2000 1
tgid 893  "Binder:893_2"  7fbd0ba000 1
tgid 893  "Binder:893_2"  7fbd02d000 1
tgid 893  "Binder:893_2"  7fbd0b9000 1
tgid 893  "Binder:893_2"  7fbd02c000 1
tgid 893  "Binder:893_2"  7fbd0b8000 1
tgid 893  "Binder:893_2"  7fbd0b6000 1
tgid 893  "Binder:893_2"  7fbd0b7000 1
tgid 893  "Binder:893_2"  7fbd02b000 1
tgid 893  "Binder:893_2"  7fbd030000 1
tgid 893  "Binder:893_2"  7fbb202000 1
tgid 6425  "ell.clashroyale"  7fbe229000 1
tgid 6425  "ell.clashroyale"  1340c000 1
tgid 6425  "ell.clashroyale"  13278000 1
tgid 6425  "ell.clashroyale"  9e6ce000 1
tgid 6425  "ell.clashroyale"  9e753000 1
tgid 6425  "ell.clashroyale"  133d5000 1
tgid 6425  "ell.clashroyale"  9e6f6000 1
tgid 6425  "ell.clashroyale"  9e6f1000 1
tgid 893  "Binder:893_2"  7fbd02e000 1
tgid 883  "Binder:883_1"  f4d2c000 1
tgid 883  "Binder:883_1"  f48b9000 1
tgid 883  "Binder:883_1"  f6fbb000 1
tgid 6425  "ell.clashroyale"  9e76c000 1
tgid 883  "Binder:883_1"  f791e000 1
tgid 883  "Binder:883_1"  f4d01000 1
tgid 883  "Binder:883_1"  f4d02000 1
tgid 883  "Binder:883_1"  f4d05000 1
tgid 6425  "ell.clashroyale"  9e731000 1
tgid 6425  "ell.clashroyale"  9e76d000 1
tgid 883  "Binder:883_1"  f4d2e000 1
tgid 883  "Binder:883_1"  f64f6000 1
tgid 883  "Binder:883_1"  f78d9000 1
tgid 883  "Binder:883_1"  f78fe000 1
tgid 883  "Binder:883_1"  f48b8000 1
tgid 883  "Binder:883_1"  f6fbe000 1
tgid 883  "Binder:883_1"  f78e0000 1
tgid 883  "Binder:883_1"  f78e1000 1
tgid 883  "Binder:883_1"  f790e000 1
tgid 883  "Binder:883_1"  f4d35000 1
tgid 883  "Binder:883_1"  f78f9000 1
tgid 883  "Binder:883_1"  f7b08000 1
tgid 6425  "ell.clashroyale"  9e73f000 1
tgid 6425  "ell.clashroyale"  9e6ec000 1
tgid 883  "Binder:883_1"  f7b00000 1
tgid 883  "Binder:883_1"  f4d29000 1
tgid 883  "Binder:883_1"  f4d00000 1
tgid 883  "Binder:883_1"  f78db000 1
tgid 6425  "ell.clashroyale"  9e779000 1
tgid 6425  "Binder:6425_3"  7f28b5c000 1
tgid 6425  "ell.clashroyale"  9e78e000 1
tgid 6425  "ell.clashroyale"  9e78a000 1
tgid 6425  "ell.clashroyale"  132b7000 1
tgid 6425  "ell.clashroyale"  9e70c000 1
tgid 6425  "ell.clashroyale"  9e6ea000 1
tgid 6425  "ell.clashroyale"  9e77f000 1
tgid 6425  "ell.clashroyale"  9e78f000 1
tgid 857  "logcatd"  7fbd861000 1
tgid 6425  "ell.clashroyale"  9e78b000 1
tgid 6425  "ell.clashroyale"  9e746000 1
tgid 6425  "ell.clashroyale"  9e6f8000 1
tgid 6425  "ell.clashroyale"  9e76e000 1
tgid 6425  "ell.clashroyale"  9e733000 1
tgid 6425  "ell.clashroyale"  9e705000 1
tgid 6425  "ell.clashroyale"  9e6ed000 1
tgid 6425  "ell.clashroyale"  9e707000 1
tgid 6425  "ell.clashroyale"  9e77b000 1
tgid 6425  "ell.clashroyale"  9e741000 1
tgid 6425  "ell.clashroyale"  7f39808000 1
tgid 6425  "ell.clashroyale"  7f3983c000 1
tgid 6425  "ell.clashroyale"  7fbe161000 1
tgid 6425  "ell.clashroyale"  7fbe1fd000 1
tgid 6425  "ell.clashroyale"  7f28afd000 1
tgid 6425  "ell.clashroyale"  13400000 1
tgid 6425  "ell.clashroyale"  7fbe292000 1
tgid 6425  "ell.clashroyale"  9e730000 1
tgid 6425  "ell.clashroyale"  7ed2bab000 1
tgid 6425  "ell.clashroyale"  132b6000 1
tgid 6425  "ell.clashroyale"  9e6d7000 1
tgid 6425  "ell.clashroyale"  726e4000 1
tgid 6425  "ell.clashroyale"  727ac000 1
tgid 6425  "ell.clashroyale"  1327b000 1
tgid 6425  "ell.clashroyale"  9e6dc000 1
tgid 6425  "ell.clashroyale"  9e6e2000 1
tgid 6425  "ell.clashroyale"  9e783000 1
tgid 6425  "ell.clashroyale"  9e790000 1
tgid 6425  "ell.clashroyale"  9e7c3000 1
tgid 6425  "ell.clashroyale"  9e78c000 1
tgid 6425  "ell.clashroyale"  9e764000 1
tgid 6425  "ell.clashroyale"  9e715000 1
tgid 6425  "ell.clashroyale"  9e6e4000 1
tgid 6425  "ell.clashroyale"  9e70f000 1
tgid 6425  "ell.clashroyale"  9e781000 1
tgid 6425  "ell.clashroyale"  9e749000 1
tgid 6425  "ell.clashroyale"  1336a000 1
tgid 6425  "ell.clashroyale"  9e737000 1
tgid 6425  "ell.clashroyale"  9e6fc000 1
tgid 6425  "ell.clashroyale"  9e6fa000 1
tgid 6425  "ell.clashroyale"  9e734000 1
tgid 6425  "ell.clashroyale"  9e6df000 1
tgid 6425  "ell.clashroyale"  9e765000 1
tgid 6425  "ell.clashroyale"  9e713000 1
tgid 6425  "ell.clashroyale"  9e785000 1
tgid 6425  "ell.clashroyale"  9e73a000 1
tgid 6425  "ell.clashroyale"  9e74e000 1
tgid 6425  "ell.clashroyale"  9e6fb000 1
tgid 6425  "ell.clashroyale"  9e771000 1
tgid 857  "logcatd"  7fbd881000 1
tgid 6425  "ell.clashroyale"  9e736000 1
tgid 6425  "ell.clashroyale"  9e704000 1
tgid 6425  "ell.clashroyale"  9e778000 1
tgid 857  "logcatd"  7fbd863000 1
tgid 6425  "ell.clashroyale"  9e73e000 1
tgid 6425  "ell.clashroyale"  1327a000 1
tgid 6425  "ell.clashroyale"  13279000 1
tgid 6425  "ell.clashroyale"  9e77d000 1
tgid 6425  "ell.clashroyale"  9e75e000 1
tgid 6425  "ell.clashroyale"  9e6f9000 1
tgid 6425  "ell.clashroyale"  9e75f000 1
tgid 6425  "ell.clashroyale"  9e75a000 1
tgid 6425  "ell.clashroyale"  9e759000 1
tgid 6425  "ell.clashroyale"  9e714000 1
tgid 6425  "ell.clashroyale"  9e711000 1
tgid 6425  "ell.clashroyale"  9e74c000 1
tgid 6425  "ell.clashroyale"  9e709000 1
tgid 6425  "ell.clashroyale"  9e6dd000 1
tgid 6425  "ell.clashroyale"  9e6d3000 1
tgid 6425  "ell.clashroyale"  9e6fe000 1
tgid 6425  "ell.clashroyale"  9e738000 1
tgid 6425  "ell.clashroyale"  9e755000 1
tgid 6425  "ell.clashroyale"  9e751000 1
tgid 6425  "ell.clashroyale"  1327c000 1
tgid 6425  "ell.clashroyale"  9e6d5000 1
tgid 6425  "ell.clashroyale"  9e700000 1
tgid 6425  "ell.clashroyale"  9e701000 1
tgid 6425  "ell.clashroyale"  9e744000 1
tgid 6425  "ell.clashroyale"  9e742000 1
tgid 6425  "ell.clashroyale"  9e76f000 1
