tgid 5598  "adbd"  7fbd039000 0
tgid 1995  "droid.launcher3"  7f2d21e000 1
tgid 3135  "Binder:3135_4"  7fbe076000 1
tgid 3135  "Binder:3135_4"  7f29ffa000 1
tgid 3135  "Binder:3135_4"  12cc0000 1
tgid 3135  "Binder:3135_4"  7f34f56000 1
tgid 3135  "Binder:3135_4"  12c83000 1
tgid 3135  "Binder:3135_4"  7fbe1e7000 1
tgid 1340  "Binder:1340_1"  9eda2000 1
tgid 1995  "droid.launcher3"  7f28afd000 1
tgid 1995  "droid.launcher3"  7f29906000 1
tgid 1995  "droid.launcher3"  7ec3d16000 1
tgid 1995  "droid.launcher3"  7f39811000 1
tgid 1995  "droid.launcher3"  7f39837000 1
tgid 1995  "droid.launcher3"  7f39834000 1
tgid 1995  "droid.launcher3"  13c87000 1
tgid 1653  "ndroid.systemui"  7f2d6d7000 1
tgid 1995  "droid.launcher3"  7ecea88000 1
tgid 1995  "droid.launcher3"  7f28b3f000 1
tgid 1995  "droid.launcher3"  7f3980e000 1
tgid 1995  "droid.launcher3"  7f3980b000 1
tgid 1995  "droid.launcher3"  7f39809000 1
tgid 1995  "droid.launcher3"  7f3980c000 1
tgid 1995  "droid.launcher3"  7f3980f000 1
tgid 1995  "droid.launcher3"  7fbe299000 1
tgid 1995  "droid.launcher3"  7ecea97000 1
tgid 1995  "droid.launcher3"  7ecec40000 1
tgid 1995  "droid.launcher3"  7f28b24000 1
tgid 1995  "droid.launcher3"  7ec541d000 1
tgid 1995  "droid.launcher3"  7ec5409000 1
tgid 1995  "droid.launcher3"  9ecb5000 1
tgid 1340  "Binder:1340_1"  7f210aa000 1
tgid 1995  "droid.launcher3"  9ecb6000 1
tgid 1653  "ndroid.systemui"  7f2d61e000 1
tgid 1653  "ndroid.systemui"  13c47000 1
tgid 1653  "ndroid.systemui"  13d94000 1
tgid 5145  "Binder:5145_5"  7fbe1f8000 1
tgid 1995  "droid.launcher3"  9ec8b000 1
tgid 1653  "Binder:1653_8"  7f28d97000 1
tgid 1653  "Binder:1653_8"  1399f000 1
tgid 1995  "droid.launcher3"  7ec5458000 1
tgid 1653  "Binder:1653_8"  9eccd000 1
tgid 1995  "droid.launcher3"  7ec3d85000 1
tgid 1995  "droid.launcher3"  7ec546c000 1
tgid 1995  "droid.launcher3"  7f2d6e9000 1
tgid 1995  "droid.launcher3"  7ec5418000 1
tgid 1340  "Binder:1340_19"  7f210a6000 1
tgid 1340  "android.display"  7fbc5cf000 1
tgid 1653  "Binder:1653_8"  9ecc5000 1
tgid 1995  "droid.launcher3"  7ec3b8b000 1
tgid 1995  "droid.launcher3"  7ec3d90000 1
tgid 1995  "droid.launcher3"  7ec3d8f000 1
tgid 1995  "droid.launcher3"  7fbe244000 1
tgid 1995  "droid.launcher3"  12ed9000 1
tgid 1995  "droid.launcher3"  7eced6b000 1
tgid 1995  "droid.launcher3"  7ec3cd2000 1
tgid 1995  "droid.launcher3"  12ece000 1
tgid 1995  "droid.launcher3"  7fbacca000 1
tgid 1995  "droid.launcher3"  7f28a02000 1
tgid 1995  "droid.launcher3"  7fbd439000 1
tgid 1995  "droid.launcher3"  7f289fd000 1
tgid 1995  "droid.launcher3"  7f28b4f000 1
tgid 1653  "Binder:1653_8"  9ee78000 1
tgid 5097  "Binder:5097_5"  7fbdd52000 1
tgid 5097  "Binder:5097_5"  7f29df4000 1
tgid 5097  "Binder:5097_5"  7f34f56000 1
tgid 5097  "Binder:5097_5"  12fc8000 1
tgid 5097  "Binder:5097_5"  7fbe1e7000 1
tgid 1653  "Binder:1653_8"  9ecde000 1
tgid 1653  "Binder:1653_8"  9ed4c000 1
tgid 1653  "Binder:1653_8"  9ece1000 1
tgid 1995  "droid.launcher3"  7f28b36000 1
tgid 1995  "droid.launcher3"  7ecec28000 1
tgid 1340  "Binder:1340_19"  9edfb000 1
tgid 1340  "android.display"  9ee00000 1
tgid 1995  "droid.launcher3"  7ec3d75000 1
tgid 1653  "ndroid.systemui"  9ecfd000 1
tgid 1653  "ndroid.systemui"  9ee6e000 1
tgid 1653  "Binder:1653_5"  7ec4899000 1
tgid 1653  "Binder:1653_5"  7ec489a000 1
tgid 1995  "droid.launcher3"  7fbe2df000 1
tgid 1995  "droid.launcher3"  7ec3cae000 1
tgid 1995  "droid.launcher3"  7f28b2f000 1
tgid 1995  "droid.launcher3"  7ec3d89000 1
tgid 1995  "droid.launcher3"  7ecebbc000 1
tgid 1340  "Binder:1340_19"  7eb7fe5000 1
tgid 1653  "Binder:1653_5"  7f2d701000 1
tgid 1653  "Binder:1653_5"  7f2d73a000 1
tgid 1653  "Binder:1653_5"  7f2d713000 1
tgid 1653  "Binder:1653_5"  7f2d714000 1
tgid 1653  "Binder:1653_5"  7ec4897000 1
tgid 1653  "Binder:1653_5"  7f311b6000 1
tgid 1653  "Binder:1653_5"  7ec4898000 1
tgid 1653  "Binder:1653_5"  12ec0000 1
tgid 1653  "Binder:1653_5"  7f28ea3000 1
tgid 1653  "Binder:1653_5"  7f28ea4000 1
tgid 1995  "droid.launcher3"  7fba5b4000 1
tgid 3135  "Binder:3135_4"  7fbe17f000 1
tgid 1340  "Binder:1340_19"  9ef1e000 1
tgid 1995  "droid.launcher3"  7f28b39000 1
tgid 1995  "droid.launcher3"  7f28a22000 1
tgid 1995  "droid.launcher3"  7fbe349000 1
tgid 1995  "droid.launcher3"  7fbe277000 1
tgid 1653  "ndroid.systemui"  9eda8000 1
tgid 1340  "Binder:1340_19"  9eec3000 1
tgid 1995  "droid.launcher3"  7f2897e000 1
tgid 1995  "droid.launcher3"  7ecea89000 1
tgid 1995  "droid.launcher3"  7ec3d86000 1
tgid 1995  "droid.launcher3"  7ec54a5000 1
tgid 1995  "droid.launcher3"  7fbe292000 1
tgid 1995  "droid.launcher3"  7ec3d88000 1
tgid 1995  "droid.launcher3"  7ec3d8a000 1
tgid 1995  "droid.launcher3"  7ec3c85000 1
tgid 1340  "Binder:1340_19"  9ec38000 1
tgid 1995  "droid.launcher3"  7ec5531000 1
tgid 1995  "droid.launcher3"  7ec3d92000 1
tgid 1995  "droid.launcher3"  7ec3ccc000 1
tgid 1995  "droid.launcher3"  7f298e1000 1
tgid 1995  "droid.launcher3"  7ec3c86000 1
tgid 5145  "Binder:5145_5"  12c40000 1
tgid 1995  "droid.launcher3"  7f28b17000 1
tgid 1995  "droid.launcher3"  7ec5454000 1
tgid 1995  "droid.launcher3"  7fbe247000 1
tgid 1995  "droid.launcher3"  7fbe223000 1
tgid 1995  "droid.launcher3"  7ec54a6000 1
tgid 1995  "droid.launcher3"  7ec3ba8000 1
tgid 1995  "droid.launcher3"  7ec5417000 1
tgid 1995  "droid.launcher3"  7ecebbd000 1
tgid 1995  "droid.launcher3"  7f28b30000 1
tgid 1995  "droid.launcher3"  7ec3d17000 1
tgid 1995  "droid.launcher3"  7ec54f4000 1
tgid 1995  "droid.launcher3"  7f2d795000 1
tgid 1995  "droid.launcher3"  7f28bd5000 1
tgid 1995  "droid.launcher3"  7ec3d8b000 1
tgid 1995  "droid.launcher3"  7ec54fa000 1
tgid 1995  "droid.launcher3"  7ecec31000 1
tgid 1995  "droid.launcher3"  7ec3d94000 1
tgid 1995  "droid.launcher3"  7f298e7000 1
tgid 1995  "droid.launcher3"  7ec3c87000 1
tgid 1995  "droid.launcher3"  7ec3d95000 1
tgid 1995  "droid.launcher3"  7ec54fb000 1
tgid 1995  "droid.launcher3"  7ec3d81000 1
tgid 1995  "droid.launcher3"  7ec3d91000 1
tgid 1995  "droid.launcher3"  7ec5690000 1
tgid 1995  "droid.launcher3"  7ecec1a000 1
tgid 1995  "droid.launcher3"  7ecec76000 1
tgid 1995  "droid.launcher3"  7f3980a000 1
tgid 1995  "droid.launcher3"  7f39832000 1
tgid 1995  "droid.launcher3"  7ec3c63000 1
tgid 1995  "droid.launcher3"  7fbe1d4000 1
tgid 1995  "droid.launcher3"  7ec3d96000 1
tgid 1995  "droid.launcher3"  7ec3c64000 1
tgid 1995  "droid.launcher3"  7ec3c8e000 1
tgid 1995  "droid.launcher3"  7ec5731000 1
tgid 1340  "android.display"  136b0000 1
tgid 1340  "android.display"  7fbc5ce000 1
tgid 1995  "droid.launcher3"  7ec5750000 1
tgid 1995  "droid.launcher3"  7f28afb000 1
tgid 1995  "droid.launcher3"  7ec3c8f000 1
tgid 1995  "droid.launcher3"  7ec3d9b000 1
tgid 1995  "droid.launcher3"  7ec3d97000 1
tgid 1995  "droid.launcher3"  7ec3c91000 1
tgid 1995  "droid.launcher3"  7f39840000 1
tgid 1995  "droid.launcher3"  7f28b31000 1
tgid 1995  "droid.launcher3"  7ec3cb6000 1
tgid 1995  "droid.launcher3"  7ec3cbb000 1
tgid 1995  "droid.launcher3"  7f28a04000 1
tgid 1995  "droid.launcher3"  7ec3d98000 1
tgid 1995  "droid.launcher3"  7ec3d18000 1
tgid 1995  "droid.launcher3"  7ec3cbd000 1
tgid 1995  "droid.launcher3"  7ec3cc1000 1
tgid 1995  "droid.launcher3"  7f298e0000 1
tgid 1340  "android.display"  9efc2000 1
tgid 1340  "android.display"  7ec8dfc000 1
tgid 1340  "android.display"  9ee90000 1
tgid 1653  "Binder:1653_5"  7fbe301000 1
tgid 1995  "Binder:1995_2"  7f289b6000 1
tgid 1995  "Binder:1995_2"  7f2d674000 1
tgid 1995  "droid.launcher3"  7ec555e000 1
tgid 1995  "droid.launcher3"  7ec3d9c000 1
tgid 1995  "droid.launcher3"  7ec3d8c000 1
tgid 1995  "droid.launcher3"  7ecead5000 1
tgid 1995  "droid.launcher3"  7ec3cf2000 1
tgid 1995  "droid.launcher3"  13294000 1
tgid 1995  "droid.launcher3"  7fbe178000 1
tgid 1995  "droid.launcher3"  7ec3d99000 1
tgid 1995  "droid.launcher3"  7ecead6000 1
tgid 1995  "droid.launcher3"  7ecead7000 1
tgid 1995  "droid.launcher3"  7f28b2d000 1
tgid 1995  "droid.launcher3"  7ec3cf4000 1
tgid 1995  "droid.launcher3"  7f28b44000 1
tgid 1995  "droid.launcher3"  7eceba7000 1
tgid 1995  "droid.launcher3"  7ecead8000 1
tgid 1995  "droid.launcher3"  7ec3cf6000 1
tgid 1653  "ScreenDecoratio"  72cb8000 1
tgid 1995  "droid.launcher3"  7ec3d9d000 1
tgid 1995  "droid.launcher3"  7ecec6b000 1
tgid 1995  "droid.launcher3"  7ec3cf5000 1
tgid 1995  "droid.launcher3"  7f39830000 1
tgid 1995  "droid.launcher3"  7f3982d000 1
tgid 1995  "droid.launcher3"  7ecead9000 1
tgid 1995  "droid.launcher3"  7ec3c84000 1
tgid 1995  "droid.launcher3"  7ec555f000 1
tgid 1995  "droid.launcher3"  7eceada000 1
tgid 1995  "droid.launcher3"  7f28a7d000 1
tgid 1995  "droid.launcher3"  7f28a84000 1
tgid 1995  "droid.launcher3"  7eceadb000 1
tgid 1995  "droid.launcher3"  7eceadc000 1
tgid 1995  "droid.launcher3"  7ec5560000 1
tgid 1995  "droid.launcher3"  7eceadd000 1
tgid 1995  "droid.launcher3"  7fbe293000 1
tgid 1995  "droid.launcher3"  7f298e5000 1
tgid 1995  "droid.launcher3"  7f298ea000 1
tgid 1995  "droid.launcher3"  7eceade000 1
tgid 1995  "droid.launcher3"  7f28a85000 1
tgid 1995  "droid.launcher3"  7ec3d9e000 1
tgid 1995  "droid.launcher3"  7ec5561000 1
tgid 1995  "droid.launcher3"  7ec5743000 1
tgid 1995  "droid.launcher3"  7ec3d9f000 1
tgid 1995  "droid.launcher3"  7fbe1b5000 1
tgid 1653  "ndroid.systemui"  13e7a000 1
tgid 1995  "droid.launcher3"  7f28b23000 1
tgid 1995  "droid.launcher3"  13281000 1
tgid 1995  "droid.launcher3"  7ec3afc000 1
tgid 1995  "droid.launcher3"  7f298e6000 1
tgid 1995  "droid.launcher3"  7ec3afd000 1
tgid 1995  "droid.launcher3"  7ec5562000 1
tgid 1995  "droid.launcher3"  7ec3c6c000 1
tgid 1995  "droid.launcher3"  7ec3c6d000 1
tgid 1995  "droid.launcher3"  7ec3c6e000 1
tgid 1995  "droid.launcher3"  1327b000 1
tgid 1995  "droid.launcher3"  7ec5563000 1
tgid 1995  "droid.launcher3"  7ec3c88000 1
tgid 1995  "droid.launcher3"  7eced14000 1
tgid 5097  "Binder:5097_5"  7fbe17f000 1
tgid 1653  "ScreenDecoratio"  72d3c000 1
tgid 1995  "droid.launcher3"  7eced2f000 1
tgid 1995  "droid.launcher3"  7ec3c89000 1
tgid 1995  "droid.launcher3"  9ec9e000 1
tgid 1995  "droid.launcher3"  7ecea92000 1
tgid 1995  "droid.launcher3"  7fbe181000 1
tgid 1995  "droid.launcher3"  7ecea90000 1
tgid 1995  "droid.launcher3"  7ec3c8c000 1
tgid 1995  "droid.launcher3"  7ec5744000 1
tgid 1995  "droid.launcher3"  7ec3d6f000 1
tgid 1995  "droid.launcher3"  7ec3da8000 1
tgid 1995  "droid.launcher3"  12f19000 1
tgid 1995  "droid.launcher3"  12f1e000 1
tgid 1995  "droid.launcher3"  7eced6a000 1
tgid 1995  "droid.launcher3"  13c8b000 1
tgid 1995  "droid.launcher3"  9ecb2000 1
tgid 1995  "droid.launcher3"  7f289f9000 1
tgid 1995  "droid.launcher3"  7fbe294000 1
tgid 1995  "droid.launcher3"  7ec5745000 1
tgid 1995  "droid.launcher3"  7ecebc1000 1
tgid 1995  "droid.launcher3"  7eced2a000 1
tgid 1995  "droid.launcher3"  7ececbf000 1
tgid 1995  "droid.launcher3"  7ec3b8c000 1
tgid 1995  "droid.launcher3"  7ecec6c000 1
tgid 1995  "droid.launcher3"  7ecec33000 1
tgid 1995  "droid.launcher3"  7ec5407000 1
tgid 1995  "droid.launcher3"  12ec9000 1
tgid 1995  "droid.launcher3"  7eced30000 1
tgid 1995  "RenderThread"  7ecec05000 1
tgid 1995  "RenderThread"  7f289ff000 1
tgid 600  "Binder:600_4"  7fba6ce000 1
tgid 600  "Binder:600_4"  7fba6cf000 1
tgid 1995  "RenderThread"  7ec5481000 1
tgid 1995  "RenderThread"  7ecec0f000 1
tgid 1995  "RenderThread"  7eceaa5000 1
tgid 1995  "RenderThread"  7ececf0000 1
tgid 1995  "RenderThread"  7ec572b000 1
tgid 1995  "RenderThread"  7ecec34000 1
tgid 1995  "RenderThread"  7ececf1000 1
tgid 1995  "RenderThread"  7f299c7000 1
tgid 1995  "RenderThread"  7ec547f000 1
tgid 1995  "RenderThread"  7ec3cab000 1
tgid 1995  "RenderThread"  7ec3cc5000 1
tgid 1995  "RenderThread"  7f298e8000 1
tgid 1995  "RenderThread"  7ec3cea000 1
tgid 1995  "RenderThread"  7ec547a000 1
tgid 1995  "RenderThread"  7ecebc0000 1
tgid 1995  "RenderThread"  7ec54a3000 1
tgid 1995  "RenderThread"  7ec3d77000 1
tgid 1995  "RenderThread"  7ec54a2000 1
tgid 1995  "RenderThread"  7ec545a000 1
tgid 1995  "RenderThread"  7ec572c000 1
tgid 1995  "RenderThread"  7ec3b46000 1
tgid 1995  "RenderThread"  7ec3b48000 1
tgid 1995  "RenderThread"  7eceb18000 1
tgid 1995  "RenderThread"  7fba055000 1
tgid 1995  "RenderThread"  7ec562b000 1
tgid 1995  "RenderThread"  7ecec04000 1
tgid 1995  "RenderThread"  7f299bf000 1
tgid 1995  "RenderThread"  7ec567e000 1
tgid 1995  "RenderThread"  7ececcb000 1
tgid 1995  "RenderThread"  7ececca000 1
tgid 1995  "RenderThread"  7eceafa000 1
tgid 1995  "RenderThread"  7eceafb000 1
tgid 1995  "RenderThread"  7eceaa0000 1
tgid 1995  "RenderThread"  7ec3b3f000 1
tgid 1995  "RenderThread"  7ec5687000 1
tgid 1995  "RenderThread"  7ecea86000 1
tgid 1995  "RenderThread"  7ecea7f000 1
tgid 1995  "RenderThread"  7ec5685000 1
tgid 1995  "RenderThread"  7ecb761000 1
tgid 1995  "RenderThread"  7ec3cb3000 1
tgid 1995  "RenderThread"  7ec5686000 1
tgid 1995  "RenderThread"  7ec3cb2000 1
tgid 1995  "RenderThread"  7ec3c96000 1
tgid 1995  "RenderThread"  7ec547b000 1
tgid 1995  "RenderThread"  7ecebbf000 1
tgid 1995  "RenderThread"  7ecec79000 1
tgid 1995  "RenderThread"  7ec3cd7000 1
tgid 1995  "RenderThread"  7ecec27000 1
tgid 1995  "RenderThread"  7ecebc5000 1
tgid 1995  "RenderThread"  7ecea82000 1
tgid 1995  "RenderThread"  7ec562c000 1
tgid 1995  "RenderThread"  7ecb760000 1
tgid 1995  "RenderThread"  7ecebc6000 1
tgid 1995  "RenderThread"  7eceaa2000 1
tgid 1995  "RenderThread"  7ececf2000 1
tgid 1995  "RenderThread"  7ec542d000 1
tgid 1995  "RenderThread"  7f28a7c000 1
tgid 1995  "RenderThread"  7ecec3b000 1
tgid 1995  "RenderThread"  7f39839000 1
tgid 1995  "RenderThread"  7f39844000 1
tgid 1995  "RenderThread"  7f29945000 1
tgid 1995  "RenderThread"  7eced13000 1
tgid 1995  "RenderThread"  7ec3cba000 1
tgid 1995  "RenderThread"  7ec5573000 1
tgid 1995  "RenderThread"  7ec5478000 1
tgid 1995  "RenderThread"  7f28aed000 1
tgid 1995  "RenderThread"  7ec3b06000 1
tgid 1995  "RenderThread"  7ec5632000 1
tgid 1995  "RenderThread"  7fba375000 1
tgid 1995  "RenderThread"  7f1fa3e000 1
tgid 1995  "RenderThread"  7ec568a000 1
tgid 1995  "RenderThread"  7ec5697000 1
tgid 1995  "RenderThread"  7ec56c5000 1
tgid 1995  "RenderThread"  7ec567f000 1
tgid 1995  "RenderThread"  7ec5631000 1
tgid 1653  "ScreenDecoratio"  7eb55a5000 1
tgid 1995  "RenderThread"  7ec5694000 1
tgid 1995  "RenderThread"  7f2d721000 1
tgid 1653  "ScreenDecoratio"  12dcc000 1
tgid 1653  "ScreenDecoratio"  137eb000 1
tgid 1653  "ScreenDecoratio"  132c8000 1
tgid 1653  "ScreenDecoratio"  137e3000 1
tgid 1995  "RenderThread"  7ec907a000 1
tgid 1653  "ScreenDecoratio"  7f28b5c000 1
tgid 1653  "ScreenDecoratio"  9ed30000 1
tgid 1653  "ScreenDecoratio"  9ecb1000 1
tgid 600  "Binder:600_1"  7fba74f000 1
tgid 1995  "RenderThread"  7ec907d000 1
tgid 600  "Binder:600_1"  7fba750000 1
tgid 600  "Binder:600_1"  7fba751000 1
tgid 600  "Binder:600_1"  7fba805000 1
tgid 5145  "Binder:5145_5"  12c47000 1
tgid 1995  "RenderThread"  7ec907e000 1
tgid 5145  "Binder:5145_5"  7fbe24e000 1
tgid 3135  "Binder:3135_4"  7fbe20a000 1
tgid 1995  "RenderThread"  7ec5696000 1
tgid 1995  "RenderThread"  7fba376000 1
tgid 1995  "RenderThread"  7ec5698000 1
tgid 1995  "RenderThread"  7ecb75d000 1
tgid 1995  "RenderThread"  7ec5711000 1
tgid 1995  "RenderThread"  7ec5684000 1
tgid 1995  "RenderThread"  7ec56d7000 1
tgid 1995  "RenderThread"  7ec575e000 1
tgid 1995  "RenderThread"  7f3982c000 1
tgid 1995  "RenderThread"  7f28bd0000 1
tgid 1995  "RenderThread"  7f28bd1000 1
tgid 1995  "RenderThread"  7ecea9a000 1
tgid 1995  "RenderThread"  7f2992b000 1
tgid 1995  "RenderThread"  7f2992c000 1
tgid 1995  "RenderThread"  7f2992d000 1
tgid 1995  "RenderThread"  7f3983c000 1
tgid 1995  "RenderThread"  7f28abd000 1
tgid 1995  "RenderThread"  7f2992e000 1
tgid 1995  "RenderThread"  7f29946000 1
tgid 1995  "RenderThread"  7f2994f000 1
tgid 1995  "RenderThread"  7f28abe000 1
tgid 1995  "RenderThread"  7f299cb000 1
tgid 1995  "RenderThread"  7f299cc000 1
tgid 1995  "RenderThread"  7f299cd000 1
tgid 1995  "RenderThread"  7f299ce000 1
tgid 1995  "RenderThread"  7f28abf000 1
tgid 1995  "RenderThread"  7f299cf000 1
tgid 1995  "RenderThread"  7f29927000 1
tgid 1995  "RenderThread"  7f299e3000 1
tgid 1995  "RenderThread"  7f299e4000 1
tgid 1995  "RenderThread"  7ec56b3000 1
tgid 1653  "ndroid.systemui"  13e67000 1
tgid 1995  "RenderThread"  7ec54b9000 1
tgid 1995  "RenderThread"  7ec907b000 1
tgid 1653  "ndroid.systemui"  13e66000 1
tgid 1995  "RenderThread"  7f28a72000 1
tgid 1995  "RenderThread"  7fbe1c0000 1
tgid 1995  "RenderThread"  7ec5405000 1
tgid 1995  "RenderThread"  7eceae1000 1
tgid 1995  "RenderThread"  7ec541a000 1
tgid 1995  "RenderThread"  7ecea9f000 1
tgid 1995  "RenderThread"  7ec54c9000 1
tgid 1653  "ndroid.systemui"  7fbc52f000 1
tgid 1653  "ndroid.systemui"  9eeb5000 1
tgid 1995  "RenderThread"  7ec3cbf000 1
tgid 1995  "RenderThread"  7ec572d000 1
tgid 1995  "RenderThread"  7ec572e000 1
tgid 1995  "RenderThread"  7f3982e000 1
tgid 1995  "RenderThread"  7fbaccb000 1
tgid 1995  "RenderThread"  7fba372000 1
tgid 1995  "RenderThread"  7f20ad8000 1
tgid 1995  "RenderThread"  7ffffff000 1
tgid 1995  "hwuiTask1"  7f29edf000 1
tgid 5145  "Binder:5145_5"  7fbdcc1000 1
tgid 5145  "Binder:5145_5"  7f292fe000 1
tgid 5145  "Binder:5145_5"  12cc0000 1
tgid 5145  "Binder:5145_5"  7f34f56000 1
tgid 5145  "Binder:5145_5"  12d84000 1
tgid 5145  "Binder:5145_5"  12d85000 1
tgid 5145  "Binder:5145_5"  7fbe1e7000 1
tgid 1995  "hwuiTask1"  7f29ede000 1
tgid 1995  "hwuiTask1"  7f2d612000 1
tgid 1995  "hwuiTask1"  7f2d619000 1
tgid 1995  "hwuiTask1"  7f2d613000 1
tgid 1995  "hwuiTask1"  7f31879000 1
tgid 1995  "hwuiTask1"  7fbdcd7000 1
tgid 1995  "hwuiTask1"  7f29edc000 1
tgid 1995  "hwuiTask1"  12f41000 1
tgid 1995  "hwuiTask1"  7f29edd000 1
tgid 1995  "hwuiTask1"  7f298f4000 1
tgid 1995  "hwuiTask1"  7f298f5000 1
tgid 1995  "RenderThread"  7f28a5c000 1
tgid 1995  "droid.launcher3"  7fbc527000 1
tgid 1995  "droid.launcher3"  12f21000 1
tgid 1995  "droid.launcher3"  12ecf000 1
tgid 1995  "RenderThread"  7f289b2000 1
tgid 1995  "RenderThread"  7f28a80000 1
tgid 1995  "RenderThread"  7fbdc2c000 1
tgid 1995  "RenderThread"  7ec542f000 1
tgid 1995  "RenderThread"  7f28b2c000 1
tgid 1995  "RenderThread"  7f28bb8000 1
tgid 1995  "RenderThread"  7f28b4a000 1
tgid 1995  "RenderThread"  7f20aa4000 1
tgid 1995  "RenderThread"  7fbe23b000 1
tgid 1995  "RenderThread"  7f1f633000 1
tgid 1995  "droid.launcher3"  9ec0c000 1
tgid 1995  "RenderThread"  7ec906e000 1
tgid 1653  "ndroid.systemui"  9edfe000 1
tgid 1653  "ScreenDecoratio"  9ee9b000 1
tgid 1995  "RenderThread"  7fbe1d5000 1
tgid 1995  "RenderThread"  7fbe22b000 1
tgid 1995  "RenderThread"  7f28b51000 1
tgid 1995  "RenderThread"  7fbe23a000 1
tgid 1995  "RenderThread"  7ec3b05000 1
tgid 1995  "RenderThread"  7eceae7000 1
tgid 1995  "RenderThread"  7eceae8000 1
tgid 1995  "RenderThread"  7fbe316000 1
tgid 1995  "RenderThread"  7fbe317000 1
tgid 1995  "RenderThread"  7ec3ccd000 1
tgid 1995  "RenderThread"  7f2993a000 1
tgid 1995  "RenderThread"  7ec3c94000 1
tgid 1995  "RenderThread"  7ecb75f000 1
tgid 1995  "RenderThread"  7ec3c95000 2
tgid 1995  "RenderThread"  7ecb75e000 2
tgid 1995  "RenderThread"  7ec3ca1000 2
tgid 1995  "RenderThread"  7ecec1d000 2
tgid 1995  "RenderThread"  7ecb75c000 2
tgid 1995  "RenderThread"  7ecec2b000 2
tgid 1995  "RenderThread"  7ecb75b000 2
tgid 1995  "RenderThread"  7ecec1e000 2
tgid 1995  "RenderThread"  7fbe172000 2
tgid 1995  "RenderThread"  7ecb75a000 2
tgid 1995  "RenderThread"  7f28ac0000 2
tgid 1995  "droid.launcher3"  12f25000 2
tgid 1995  "RenderThread"  7f289b7000 2
tgid 1995  "RenderThread"  7ecec19000 2
tgid 1995  "RenderThread"  7ec567a000 2
tgid 1995  "RenderThread"  7f28b1a000 2
tgid 1995  "RenderThread"  7f28a7b000 2
tgid 1995  "RenderThread"  7ecb759000 2
tgid 1995  "RenderThread"  7ecea93000 2
tgid 1995  "RenderThread"  7ecec2c000 2
tgid 1995  "RenderThread"  7eceaa1000 2
tgid 1995  "RenderThread"  7fbacce000 2
tgid 5097  "Binder:5097_5"  7fbe20a000 2
tgid 1653  "ScreenDecoratio"  9ede1000 2
tgid 1995  "RenderThread"  7ecea84000 2
tgid 1995  "RenderThread"  7ecea81000 2
tgid 1995  "RenderThread"  7fbe25f000 2
tgid 1995  "RenderThread"  7ecb758000 2
tgid 1995  "RenderThread"  7eceaa4000 2
tgid 1995  "RenderThread"  7ecece3000 2
tgid 1995  "RenderThread"  7fbe342000 2
tgid 1995  "RenderThread"  7eceaa3000 2
tgid 1995  "RenderThread"  7eceaea000 2
tgid 1995  "RenderThread"  7f299c5000 2
tgid 1995  "RenderThread"  7fbe18e000 2
tgid 1995  "RenderThread"  7f299b9000 2
tgid 1995  "RenderThread"  7ec3cce000 2
tgid 1995  "RenderThread"  7eced48000 2
tgid 1995  "RenderThread"  7ec5576000 2
tgid 1995  "RenderThread"  7ecead3000 2
tgid 1995  "RenderThread"  7ec5402000 2
tgid 1995  "RenderThread"  7f28b37000 2
tgid 1995  "RenderThread"  7fbe226000 2
tgid 1995  "RenderThread"  7fbe227000 2
tgid 1995  "RenderThread"  7f39847000 2
tgid 1995  "RenderThread"  7fba060000 2
tgid 1995  "RenderThread"  7ececcd000 2
tgid 1995  "RenderThread"  7ec3cb8000 2
tgid 1995  "RenderThread"  7ec3cb9000 2
tgid 1995  "RenderThread"  7ec5574000 2
tgid 1995  "RenderThread"  7ec5572000 2
tgid 1995  "RenderThread"  7ec5505000 2
tgid 1995  "RenderThread"  7ecec06000 2
tgid 1995  "RenderThread"  7ec5504000 2
tgid 1995  "RenderThread"  7ec3c78000 2
tgid 1995  "RenderThread"  7ec3c6f000 2
tgid 1995  "RenderThread"  7ec3c79000 2
tgid 1995  "RenderThread"  7ec3c70000 2
tgid 1995  "RenderThread"  7ec5683000 2
tgid 1995  "RenderThread"  7ecebbe000 2
tgid 1995  "RenderThread"  7ecec69000 2
tgid 1995  "RenderThread"  7ec3d12000 2
tgid 1995  "RenderThread"  7ec54ba000 2
tgid 1995  "RenderThread"  7eceadf000 2
tgid 1995  "RenderThread"  7ec5633000 2
tgid 1653  "ndroid.systemui"  9ed0e000 2
tgid 1653  "ndroid.systemui"  9ee56000 2
tgid 1995  "RenderThread"  7ec3d11000 2
tgid 1995  "RenderThread"  7fbe1b2000 2
tgid 1995  "RenderThread"  7f28bcf000 2
tgid 1995  "RenderThread"  7f29983000 2
tgid 1995  "RenderThread"  7ec5430000 2
tgid 1995  "RenderThread"  7ecec08000 2
tgid 1995  "RenderThread"  7eceae5000 2
tgid 1995  "RenderThread"  7ec572f000 2
tgid 1995  "RenderThread"  7ec5428000 2
tgid 1995  "RenderThread"  7ec53f6000 2
tgid 1995  "RenderThread"  7ec3d15000 2
tgid 1995  "RenderThread"  7f29981000 2
tgid 1995  "RenderThread"  7f28b04000 2
tgid 1995  "RenderThread"  7f29948000 2
tgid 1995  "RenderThread"  7f299e7000 2
tgid 1995  "RenderThread"  7ec56a0000 2
tgid 1995  "RenderThread"  7ec3d13000 2
